file,battery,battery_central,curtailment,pv,sell_grid_power,solar_power,supply_grid_power,unmet_demand,Cluster
run_wm0p3_wc0p63333_wt0p06667.nc,333.6851103774156,3.90936183656494,796.9924997967438,1264.6057842774833,364.90411961962894,1199.983242924025,191.67549861337852,0.0,0
run_wm0p23333_wc0p06667_wt0p7.nc,358.93767159726457,0.0032558528714805657,779.0299826104351,925.1351820782909,0.0032491434390005897,1199.9980657401613,399.9968306816933,0.0,2
run_wm0p3_wc0p26667_wt0p43333.nc,333.27118726551436,0.005915018737748296,781.2157747750729,865.6807248557918,0.004540731304265306,1199.9921847770395,191.7017329705201,0.0,1
run_wm0p43333_wc0p2_wt0p36667.nc,288.1318134361335,0.0054570681510853645,783.147168522373,758.4320877149818,0.0042736354107290086,1199.9864403285462,191.69354741244643,0.0,1
run_wm0p13333_wc0p73333_wt0p13333.nc,399.09124859432046,0.061610836099807165,781.0854725210105,980.9266994871642,0.004017996806010893,1199.9802574856417,191.71420872261234,0.0,1
run_wm0p7_wc0p16667_wt0p13333.nc,206.87746829970035,0.00784415132457341,862.8953358647641,1318.3226098746784,361.00575724610934,1199.9707849533518,399.9714607422112,0.0,0
run_wm0p33333_wc0p13333_wt0p53333.nc,318.1999991321425,0.007279923270643693,783.0246234835024,916.4417417513024,0.01089276854107224,1199.9913989952613,191.70692580081274,0.0,1
run_wm0p76667_wc0p03333_wt0p2.nc,184.63283632313446,0.005344553388881063,862.8989430196966,1257.0886736710772,361.0049516871432,1199.9722408004732,377.03808523431206,0.0,0
run_wm0p63333_wc0p26667_wt0p1.nc,227.64988265775162,0.00466005309206796,824.7245643924504,1458.795794115459,361.00383100971135,1199.9926838045794,364.33359564890253,0.0,0
run_wm0p66667_wc0p33333_wt1e-05.nc,140.16878828351153,95.54482170619258,862.9199074064009,1289.681244940091,456.5447494998436,1199.9999539121447,423.35506499783133,0.0,0
run_wm0p43333_wc0p56667_wt1e-05.nc,185.7052369758611,154.89272781606095,776.1749406045609,1377.3616490911286,515.891612408057,1199.996242693316,456.352946753959,0.0,0
run_wm0p4_wc0p36667_wt0p23333.nc,300.29771875884063,0.010431372245628134,783.9004179420093,835.4965572586973,0.010175094335893371,1199.9833192189976,191.6544251443936,0.0,1
run_wm0p03333_wc0p16667_wt0p8.nc,660.1803330960192,0.055808111767405716,740.2193268423542,1385.9571033863567,0.0009110933147426388,1199.9927306479303,399.9959498349106,0.0,2
run_wm0p3_wc0p1_wt0p6.nc,330.83975224280346,0.01868095563779511,783.0212065937301,912.7280901588852,0.018296565767121263,1199.9741536772995,191.8077990661335,0.0,1
run_wm1e-05_wc0p46667_wt0p53333.nc,1784.0437086684292,0.08680344748405766,574.7711708108995,1690.5122439486752,8.4778956435441,1199.9998867630597,399.99988213901713,0.0,3
run_wm0p6_wc0p06667_wt0p33333.nc,234.50565516455902,0.0035371997133972063,810.979201006331,658.38309214388,0.0037246650130648906,1199.9840205856892,352.5481767548707,0.0,2
run_wm0p13333_wc0p86667_wt1e-05.nc,303.0932421382044,215.16810293258212,629.2564195155081,1617.3576582817168,576.1649176941698,1199.9946454625165,191.75709241151895,0.0,0
run_wm0p83333_wc0p1_wt0p06667.nc,132.33879545001642,0.0011577488477747242,889.9187304627692,1265.1278756221914,361.0011210570462,1199.999280807925,319.1354168257248,0.0,0
run_wm0p06667_wc0p63333_wt0p3.nc,542.4428465607606,0.01213140317003719,752.2991328893523,1224.382264353046,0.00024391100010272564,1199.9956637706423,191.7847157174669,0.0,1
run_wm0p8_wc0p2_wt1e-05.nc,97.71207201082888,49.194546363084086,889.9179002597883,1210.4766690885945,410.1944756314388,1199.9998389989523,329.9632677724894,0.0,0
run_wm0p2_wc0p1_wt0p7.nc,364.6743199389092,0.008021635028550654,768.3691816380879,960.1211705373443,0.007640578112201503,1199.9925760500923,399.99255523953155,0.0,2
run_wm0p43333_wc0p1_wt0p46667.nc,287.52277014779986,0.005357415487613434,793.4907885721283,805.2234743144386,0.005168240756794585,1199.9830988713657,191.6971336426613,0.0,1
run_wm0p46667_wc0p5_wt0p03333.nc,252.66892691143525,56.78708829285209,788.3094792330138,1504.4643828610174,417.786146667745,1199.997794699299,429.4674077183847,0.0,0
run_wm0p03333_wc0p53333_wt0p43333.nc,660.2365174573379,0.038407537280609624,740.0050611240493,1384.9987029875451,0.0007590397284634597,1199.9909201004318,399.9601681883379,0.0,2
run_wm0p5_wc0p4_wt0p1.nc,270.19652427142887,0.015536692987389132,795.3576174369141,1342.0555282152895,361.01330854694044,1199.986501925445,392.1072490297602,0.0,0
run_wm0p13333_wc0p6_wt0p26667.nc,399.12950146991307,0.02330311786476265,783.572011923275,979.4544851753992,0.0049513515426861865,1199.9822065317949,191.7254309584837,0.0,1
run_wm0p16667_wc0p2_wt0p63333.nc,374.2696232878657,0.00585327371569667,767.8371459999494,982.499877843675,0.0004836987908664782,1199.9962404117364,399.99464806163206,0.0,2
run_wm0p63333_wc0p36667_wt1e-05.nc,145.07057247709315,108.39909670105104,862.919807963455,1294.0770639766279,469.3989826207132,1199.9999613125374,441.6396989676678,0.0,0
run_wm0p53333_wc0p06667_wt0p4.nc,252.80358918016998,0.0017221200836176466,787.4116292674414,686.3378167451923,0.0017495877244134927,1199.9999988657346,191.64385961298848,0.0,1
run_wm0p1_wc0p2_wt0p7.nc,427.2476417088242,0.004146497180840115,765.6482621646499,1029.6929166688544,9.657689647658235e-05,1199.9988015616516,399.99889572868835,0.0,2
run_wm0p5_wc0p06667_wt0p43333.nc,263.089447049267,0.0035355328824721996,788.5185530248195,708.2070865679364,0.003554063304482862,1199.9975410813581,191.6946801620158,0.0,1
run_wm0p5_wc0p43333_wt0p06667.nc,276.5569924978705,0.15935248043625083,825.2182651339582,1554.7122266962904,361.1569666007676,1199.980475789967,399.30128721318016,0.0,0
run_wm1e-05_wc0p2_wt0p8.nc,1715.5621550400547,0.6443714794027257,551.3294536614288,1628.6324244431794,2.2159143892757505,1199.9971326017,399.99895118391413,5.360411669271809e-10,3
run_wm0p43333_wc0p53333_wt0p03333.nc,260.26870260027334,62.44144283477377,731.3247316992566,1517.9487606826333,423.4403738781148,1199.9961182124914,443.5368863133359,0.0,0
run_wm0p33333_wc0p66667_wt1e-05.nc,207.31102668754102,171.72807117530147,717.5287077707644,1421.466346367502,532.7257357353806,1199.9952072836898,435.29064555426424,0.0,0
run_wm0p4_wc0p1_wt0p5.nc,298.1658580370971,0.004322640039350769,776.7323048971596,781.8121023884333,0.004357106088896997,1199.9966024750988,191.69863336512745,0.0,1
run_wm0p26667_wc0p1_wt0p63333.nc,344.0109249986833,0.0018330565181020667,779.4209028385891,905.568106055102,0.001801957618588369,1199.9985217314259,399.9974217557291,0.0,2
run_wm0p23333_wc0p5_wt0p26667.nc,362.30398105772423,0.007854579988256942,781.352001331913,942.1626699438879,0.0005280549417399316,1199.9909215528291,191.6995996613255,0.0,1
run_wm0p06667_wc0p4_wt0p53333.nc,522.0726606743581,0.0065406629411086555,760.2557522292225,1173.737832280307,0.00010786892212179,1199.9977641920627,399.99876114640495,0.0,2
run_wm0p13333_wc0p76667_wt0p1.nc,399.01910006121847,0.14996844687257374,775.9081319529159,1008.6075510308301,0.10029607762919308,1199.9750840812937,191.71178114390096,0.0,1
run_wm0p3_wc0p4_wt0p3.nc,333.69343032178085,0.00732043311045746,782.1127936931697,917.4960773201528,0.0032259103941478322,1199.987677033625,191.69642281031386,0.0,1
run_wm0p9_wc0p06667_wt0p03333.nc,62.35270224956573,0.0008057400006925038,889.9198714378748,1156.2074318525604,361.000804346459,1199.9998848614646,252.01744215600334,0.0,0
run_wm0p46667_wc0p53333_wt1e-05.nc,179.06248789342945,151.728216025659,824.6827289602352,1361.294966823882,512.7271061479597,1199.9960418112032,447.20531863472945,0.0,0
run_wm0p53333_wc0p4_wt0p06667.nc,264.46490754590593,0.11086476819903375,825.0342410536972,1531.2072563416164,361.10810285837744,1199.9735954793532,391.6123948282897,0.0,0
run_wm0p46667_wc0p33333_wt0p2.nc,280.41040067541775,0.006922841736658918,794.8469240415122,758.1477469646028,0.006321272904891956,1199.983918071901,380.7814041426323,0.0,2
run_wm0p03333_wc0p3_wt0p66667.nc,660.1704584950598,0.031192685332117987,734.0868185045091,1385.8637002178707,0.0005562456902444316,1199.9941747787684,399.99764484144015,0.0,2
run_wm0p06667_wc0p7_wt0p23333.nc,542.4637539528095,0.018475157554811786,765.1377750225536,1222.6533239080015,0.0006435720092815355,1199.993097861813,191.78752279621148,0.0,1
run_wm0p6_wc0p23333_wt0p16667.nc,235.20487090153932,0.007915856988312594,824.7973134934016,1257.0741000557398,361.00139116327153,1199.9678124285956,370.08942309396906,0.0,0
run_wm0p13333_wc0p1_wt0p76667.nc,395.23067572914107,0.0062033307861158,767.225149889517,982.532441078816,0.005678114994894425,1199.995911605605,399.99702476994196,0.0,2
run_wm0p16667_wc0p83333_wt1e-05.nc,285.84040704656627,154.58331777143025,677.1907277817049,1578.31887524095,515.5801960350248,1199.9964840785892,191.72404629356728,0.0,0
run_wm0p16667_wc0p5_wt0p33333.nc,378.25898976035177,0.006484875019120323,766.2007790261432,972.1788010517621,0.00014488744163694857,1199.9953656367363,191.70818904292648,0.0,1
run_wm0p3_wc0p03333_wt0p66667.nc,330.0932335510006,0.004109312149263933,786.2961179356416,928.2748454413519,0.004298914836452225,1199.9970328752577,399.9951072868542,0.0,2
run_wm0p36667_wc0p13333_wt0p5.nc,307.6549143843572,0.019251219099248446,784.6402392276311,820.0732146310559,0.018935359784744945,1199.9677729192967,191.69561917559753,0.0,1
run_wm0p3_wc0p46667_wt0p23333.nc,333.689092344257,0.006100960856793917,793.1950789958555,881.422927465024,0.004603095843258666,1199.9923954776832,191.6939592029269,0.0,1
run_wm0p13333_wc0p13333_wt0p73333.nc,395.30250503385724,0.029360944950244123,772.6354907331696,998.8010744302258,0.0203023803354636,1199.9724274203143,399.98349780153507,0.0,2
run_wm0p73333_wc0p13333_wt0p13333.nc,194.4530572739752,0.008328967362946272,862.8928435120226,1328.4731288990013,361.0067945199928,1199.9654677547671,387.87264435604243,0.0,0
run_wm0p5_wc0p1_wt0p4.nc,264.4951028512237,0.003677489080988877,798.1983717168004,713.6851852201066,0.0035779888585481755,1199.9912821370262,191.69069410715278,0.0,1
run_wm0p93333_wc0p03333_wt0p03333.nc,9.513112143047131,0.02892513389326395,889.8944015708292,1074.8425568535358,361.02970635200813,1199.9689711575165,193.4481054901339,0.0,0
run_wm0p13333_wc0p26667_wt0p6.nc,396.7903299924993,0.0028017529514682417,761.5854907179196,976.1332422445676,6.1518627025717e-05,1199.9992006993614,399.99842699366013,0.0,2
run_wm0p7_wc0p06667_wt0p23333.nc,202.7450744746056,0.010010352099021496,826.1429690607396,601.9117778686339,71.74700765137611,1199.9335835792679,336.56589850647714,0.0,2
run_wm0p33333_wc0p03333_wt0p63333.nc,317.01570774951807,0.005896048484672711,781.9010042318608,856.7460293632405,0.007397552904340373,1199.9946902975796,259.6860646426672,0.0,1
run_wm0p63333_wc0p03333_wt0p33333.nc,222.8455943574116,0.00355676976958481,801.7237957022032,644.1168420410891,0.003886800742723631,1199.9958804332077,339.6391454765726,0.0,2
run_wm0p13333_wc0p63333_wt0p23333.nc,399.12365474866226,0.009184836913345885,791.2431442348975,995.903691765223,0.00023673394975765394,1199.9937675578367,191.7156698467895,0.0,1
run_wm0p46667_wc0p23333_wt0p3.nc,277.3959962786502,0.003187750836396675,787.9705448622519,741.6663966845354,0.0024503147422983355,1199.995427205748,191.6522685746377,0.0,1
